row_id,title,year,captured_citation_count,doi,openalex_id,venue,type,open_access,open_access_url,authors,institutions,source_query_count,source_queries,audit_classification,directness,duplicate_group,review_status
1,Anomalies: Parimutuel Betting Markets: Racetracks and Lotteries,1988,629,10.1257/jep.2.2.161,https://openalex.org/W2084913862,The Journal of Economic Perspectives,article,True,https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.2.2.161,Richard H. Thaler; William T. Ziemba,Johnson & Johnson (United States); University of British Columbia,3,betting market arbitrage odds; horse racing betting market efficiency arbitrage; anchor_betting_opportunities,sports_betting_market_support,medium,,automated retained set; manual core review required
2,Gambling and the Health of the Public: Adopting a Public Health Perspective,1999,540,10.1023/a:1023005115932,https://openalex.org/W1497041452,Journal of Gambling Studies,article,True,https://link.springer.com/content/pdf/10.1023/A:1023005115932.pdf,David Korn; Howard J. Shaffer,Harvard University,1,sports betting hedging risk reduction,tangential_betting_or_gambling,low,,automated retained set; manual core review required
3,BEHAVIORAL PORTFOLIO SELECTION IN CONTINUOUS TIME,2008,342,10.1111/j.1467-9965.2008.00339.x,https://openalex.org/W2134306794,Mathematical Finance,article,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1467-9965.2008.00339.x,Hanqing Jin; Xun Yu Zhou,Chinese University of Hong Kong; National University of Singapore,1,constrained arbitrage optimization betting,tangential_betting_or_gambling,low,,automated retained set; manual core review required
4,Estimation of Behavioral Addiction Prevalence During COVID-19 Pandemic: A Systematic Review and Meta-analysis,2022,183,10.1007/s40429-022-00435-6,https://openalex.org/W4295271007,Current Addiction Reports,review,True,https://link.springer.com/content/pdf/10.1007/s40429-022-00435-6.pdf,Zainab Alimoradi; Aida Lotfi; Chung‐Ying Lin; Mark D. Griffiths; Amir H. Pakpour,National Cheng Kung University Hospital; Nottingham Trent University; Qazvin University of Medical Sciences,1,sports betting latency execution risk,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
5,Virtual harm reduction efforts for Internet gambling: effects of deposit limits on actual Internet sports gambling behavior,2008,176,10.1186/1477-7517-5-27,https://openalex.org/W2043790676,Harm Reduction Journal,article,True,https://harmreductionjournal.biomedcentral.com/counter/pdf/10.1186/1477-7517-5-27,Anja Broda; Debi A. LaPlante; Sarah E. Nelson; Richard A. LaBrie; Leslie B. Bosworth,Cambridge Health Alliance,1,dutching sports betting strategy,sports_betting_market_support,medium,,automated retained set; manual core review required
6,The Lancet Public Health Commission on gambling,2024,171,10.1016/s2468-2667(24)00167-1,https://openalex.org/W4403714889,The Lancet Public Health,review,True,https://doi.org/10.1016/s2468-2667(24)00167-1,Heather Wardle; Louisa Degenhardt; Virve Marionneau; Gerda Reith; Charles Livingstone,Monash University; UNSW Sydney; University of Glasgow; University of Helsinki,3,betting limits stake restrictions bookmaker; sports betting commission fee structure; bookmaker pricing model information asymmetry,tangential_betting_or_gambling,low,,automated retained set; manual core review required
7,The psychology of cryptocurrency trading: Risk and protective factors,2021,157,10.1556/2006.2021.00037,https://openalex.org/W3175130791,Journal of Behavioral Addictions,review,True,https://akjournals.com/downloadpdf/journals/2006/10/2/article-p201.pdf,Paul Delfabbro; Daniel L. King; Jennifer N. Williams,Flinders University; The University of Adelaide; University of Lethbridge,2,sports betting market liquidity informed traders; anchor_asset_pricing,sports_betting_market_support,medium,,automated retained set; manual core review required
8,International Gambling Studies,2006,156,,https://openalex.org/W2221533162,ANU Open Research (Australian National University),article,True,http://hdl.handle.net/1885/21387,Janice McMillen,,1,sports order book liquidity depth,tangential_betting_or_gambling,low,,automated retained set; manual core review required
9,"Demographic, Behavioural and Normative Risk Factors for Gambling Problems Amongst Sports Bettors",2015,155,10.1007/s10899-015-9571-9,https://openalex.org/W1431942937,Journal of Gambling Studies,article,True,https://link.springer.com/content/pdf/10.1007/s10899-015-9571-9.pdf,Nerilee Hing; Alex Russell; Peter Vitartas; Matthew Lamont,La Trobe University; Southern Cross University,2,betting limits stake restrictions bookmaker; sports betting account restriction limitation,sports_betting_market_support,medium,,automated retained set; manual core review required
10,A Critical Review of the Harm-Minimisation Tools Available for Electronic Gambling,2016,141,10.1007/s10899-016-9624-8,https://openalex.org/W2415495472,Journal of Gambling Studies,review,True,https://link.springer.com/content/pdf/10.1007%2Fs10899-016-9624-8.pdf,Andrew Harris; Mark D. Griffiths,Nottingham Trent University,1,betting limits stake restrictions bookmaker,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
11,Do advertising and promotions for online gambling increase gambling consumption? An exploratory study,2014,138,10.1080/14459795.2014.903989,https://openalex.org/W2053421867,International Gambling Studies,article,True,https://www.tandfonline.com/doi/pdf/10.1080/14459795.2014.903989?needAccess=true,Nerilee Hing; Lorraine Cherney; Alex Blaszczynski; Sally Gainsbury; Dan I. Lubman,Eastern Health; Southern Cross University; The University of Sydney,1,bookmaker market structure online betting,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
12,Real Time Quantification of Dangerousity in Football Using Spatiotemporal Tracking Data,2016,137,10.1371/journal.pone.0168768,https://openalex.org/W2567728646,PLoS ONE,article,True,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0168768&type=printable,Daniel Link; Steffen Lang; Philipp Seidenschwarz,Technical University of Munich,1,weak semi strong efficiency sports betting,tangential_betting_or_gambling,low,,automated retained set; manual core review required
13,Intuitive Biases in Choice versus Estimation: Implications for the Wisdom of Crowds,2010,135,10.1086/658070,https://openalex.org/W3123905867,Journal of Consumer Research,article,True,https://repository.upenn.edu/bitstreams/ae7a8543-9b84-431b-9fc7-e40826264f03/download,Joseph P. Simmons; Leif D. Nelson; Jeff Galak; Shane Frederick,"Carnegie Mellon University; University of California, Berkeley; Yale University",4,arbitrage opportunity duration sports betting; arbitrage opportunity persistence sports market; anchor_wisdom_crowds; anchor_levitt,tangential_betting_or_gambling,low,,automated retained set; manual core review required
14,The influence of marketing on the sports betting attitudes and consumption behaviours of young men: implications for harm reduction and prevention strategies,2017,128,10.1186/s12954-017-0131-8,https://openalex.org/W2578754937,Harm Reduction Journal,article,True,https://harmreductionjournal.biomedcentral.com/track/pdf/10.1186/s12954-017-0131-8,Emily Deans; Samantha Thomas; Jeffrey L. Derevensky; Mike Daube,Curtin University; Deakin University; McGill University,1,bookmaker market structure online betting,sports_betting_market_support,medium,,automated retained set; manual core review required
15,A taxonomy of gambling and casino games via social media and online technologies,2014,127,10.1080/14459795.2014.890634,https://openalex.org/W2016837928,International Gambling Studies,article,True,https://www.tandfonline.com/doi/pdf/10.1080/14459795.2014.890634?needAccess=true,Sally Gainsbury; Nerilee Hing; Paul Delfabbro; Daniel L. King,Southern Cross University; University of Adelaide,1,bookmaker market structure online betting,tangential_betting_or_gambling,low,,automated retained set; manual core review required
16,"‘Nothing can be done until everything is done’: the use of complexity arguments by food, beverage, alcohol and gambling industries",2017,123,10.1136/jech-2017-209710,https://openalex.org/W2764217782,Journal of Epidemiology & Community Health,article,True,https://doi.org/10.1136/jech-2017-209710,Mark Petticrew; Srinivasa Vittal Katikireddi; Cécile Knai; Rebecca Cassidy; Nason Maani,Goldsmiths University of London; London School of Hygiene & Tropical Medicine; MRC/CSO Social and Public Health Sciences Unit,1,betting limits stake restrictions bookmaker,tangential_betting_or_gambling,low,,automated retained set; manual core review required
17,Sentiment in the betting market on Spanish football,2007,119,10.1080/00036840701522895,https://openalex.org/W2081955453,Applied Economics,article,True,https://eprints.lancs.ac.uk/id/eprint/44748/1/10.pdf,David Forrest; Robert Simmons,Lancaster University; University of Salford,6,negative overround sports betting; football betting market efficiency overround; anchor_betting_opportunities; anchor_efficiency_review; anchor_forecasting; anchor_weak_form,sports_betting_market_support,medium,,automated retained set; manual core review required
18,Understanding the convergence of markets in online sports betting,2016,119,10.1177/1012690216680602,https://openalex.org/W2563118570,International Review for the Sociology of Sport,article,False,,Hibai López-González; Mark D. Griffiths,Nottingham Trent University; Universidad de Deusto,1,anchor_betting_opportunities,sports_betting_market_support,medium,,automated retained set; manual core review required
19,What Do Financial Markets Think of War in Iraq?,2003,116,10.3386/w9587,https://openalex.org/W2104908147,National Bureau of Economic Research,report,True,https://doi.org/10.3386/w9587,Andrew Leigh; Justin Wolfers; Eric Zitzewitz,National Bureau of Economic Research,7,betting market arbitrage odds; sports betting market efficiency arbitrage; line movement sports betting arbitrage; bookmaker market structure online betting; asset pricing sports betting risk premium; correlated outcomes arbitrage sports market; anchor_weak_form,sports_betting_market_support,medium,,automated retained set; manual core review required
20,Conceptual Framework of Harmful Gambling: An International Collaboration,2013,115,10.11575/prism/9479,https://openalex.org/W2465594266,Libraries and Cultural Resources (University of Calgary),article,True,https://doi.org/10.11575/prism/9479,Max Abbott; Per Binde; David C. Hodgins; David Korn; Alexius A. Pereira,,1,sports betting stake allocation optimization,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
21,The value of statistical forecasts in the UK association football betting market,2004,104,10.1016/j.ijforecast.2003.12.007,https://openalex.org/W2088183059,International Journal of Forecasting,article,False,,Mark Dixon; Peter F. Pope,Lancaster University,1,betting market arbitrage odds,sports_betting_market_support,medium,,automated retained set; manual core review required
22,How efficient is the European football betting market? Evidence from arbitrage and trading strategies,2008,99,10.1002/for.1085,https://openalex.org/W1996000935,Journal of Forecasting,article,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/for.1085,Nikolaos Vlastakis; George Dotsis; Raphael N. Markellos,Athens University of Economics and Business; Loughborough University; University of Essex,21,sports betting arbitrage; arbitrage betting cross bookmaker; inter-market arbitrage sports betting; betting market arbitrage odds; sports betting market efficiency arbitrage; weak semi strong efficiency sports betting; betting limits stake restrictions bookmaker; statistical arbitrage sports betting probability; horse racing betting market efficiency arbitrage; asset pricing sports betting risk premium; correlated outcomes arbitrage sports market; sports betting account restriction limitation; anchor_inter_market_arb; anchor_inter_market_arb2; anchor_profiting_arb; anchor_arb_winning; anchor_info_prices; anchor_efficiency_review; anchor_forecasting; anchor_weak_form; anchor_shin,direct_surebet_or_arbitrage,high,DUP-04,candidate for manual core review
23,Searching for the GOAT of tennis win prediction,2016,97,10.1515/jqas-2015-0059,https://openalex.org/W2336677943,Journal of Quantitative Analysis in Sports,article,True,http://www.degruyter.com/downloadpdf/j/jqas.2016.12.issue-3/jqas-2015-0059/jqas-2015-0059.xml,Stephanie Kovalchik,Victoria University,2,negative overround sports betting; overround bookmaker margin sports betting,sports_betting_market_support,medium,,automated retained set; manual core review required
24,"Emergent gambling advertising; a rapid review of marketing content, delivery and structural features",2021,92,10.1186/s12889-021-10805-w,https://openalex.org/W3152666300,BMC Public Health,review,True,https://bmcpublichealth.biomedcentral.com/track/pdf/10.1186/s12889-021-10805-w,Jamie Torrance; Bev John; W. James Greville; M O’Hanrahan; Nyle Davies,University of South Wales,1,betting limits stake restrictions bookmaker,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
25,Betting Against Beta,2010,76,10.3386/w16601,https://openalex.org/W3123514476,National Bureau of Economic Research,preprint,True,https://doi.org/10.3386/w16601,Andrea Frazzini; Lasse Heje Pedersen,Capital University,2,back lay arbitrage betting exchange; anchor_inter_market_arb2,tangential_betting_or_gambling,low,,automated retained set; manual core review required
26,Does the uptake of wagering inducements predict impulse betting on sport?,2018,76,10.1556/2006.7.2018.17,https://openalex.org/W2790178362,Journal of Behavioral Addictions,article,True,https://akjournals.com/downloadpdf/journals/2006/7/1/article-p146.pdf,Nerilee Hing; Alex Russell; En Li; Peter Vitartas,Central Queensland University; La Trobe University,1,cross-market equivalent bets normalization sports,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
27,Recall and awareness of gambling advertising and sponsorship in sport in the UK: a study of young people and adults,2019,74,10.1186/s12954-019-0291-9,https://openalex.org/W2932789116,Harm Reduction Journal,article,True,https://harmreductionjournal.biomedcentral.com/track/pdf/10.1186/s12954-019-0291-9,Natalie Djohari; Gavin Weston; Rebecca Cassidy; Martyn Wemyss; Samantha Thomas,Deakin University; Goldsmiths University of London,1,sports betting hedging risk reduction,sports_betting_market_support,medium,,automated retained set; manual core review required
28,History-Dependent Risk Preferences: Evidence from Individual Choices and Implications for the Disposition Effect,2019,72,10.1093/rfs/hhz127,https://openalex.org/W3124151688,Review of Financial Studies,article,True,https://academic.oup.com/rfs/article-pdf/33/8/3674/33509142/hhz127.pdf,Angie Andrikogiannopoulou; Filippos Papakonstantinou,King's College London,2,asset pricing sports betting risk premium; cross-market equivalent bets normalization sports,sports_betting_market_support,medium,,automated retained set; manual core review required
29,Sports betting around the world: A systematic review,2022,70,10.1556/2006.2022.00064,https://openalex.org/W4294741470,Journal of Behavioral Addictions,review,True,https://akjournals.com/downloadpdf/journals/2006/11/3/article-p689.pdf,Repairer Etuk; Tiange Xu; Brett Abarbanel; Marc N. Potenza; Shane W. Kraus,"The University of Sydney; University of Nevada, Las Vegas; Yale University",2,betting limits stake restrictions bookmaker; sports betting account restriction limitation,sports_betting_market_support,medium,,automated retained set; manual core review required
30,In-Play Sports Betting: a Scoping Study,2018,68,10.1007/s11469-018-9896-6,https://openalex.org/W2802448192,International Journal of Mental Health and Addiction,article,True,https://link.springer.com/content/pdf/10.1007%2Fs11469-018-9896-6.pdf,Elizabeth A. Killick; Mark D. Griffiths,Nottingham Trent University,1,betting exchange commission Betfair sports,sports_betting_market_support,medium,,automated retained set; manual core review required
31,From Aggregate Betting Data to Individual Risk Preferences,2019,61,10.3982/ecta11165,https://openalex.org/W1497364832,Econometrica,article,True,http://publications.ut-capitole.fr/26382/1/agregate_econometrica.pdf,Pierre‐André Chiappori; Bernard Salanié; François Salanié; Amit Gandhi,Toulouse School of Economics; University of Mannheim,6,dutching sports betting strategy; weak semi strong efficiency sports betting; robust optimization uncertainty sports betting; bookmaker market structure online betting; cross-market equivalent bets normalization sports; anchor_weak_form,tangential_betting_or_gambling,low,DUP-03,automated retained set; manual core review required
32,"Betting, Forex Trading, and Fantasy Gaming Sponsorships—a Responsible Marketing Inquiry into the ‘Gamblification’ of English Football",2017,61,10.1007/s11469-017-9788-1,https://openalex.org/W2738938958,International Journal of Mental Health and Addiction,article,True,https://link.springer.com/content/pdf/10.1007%2Fs11469-017-9788-1.pdf,Hibai López-González; Mark D. Griffiths,Nottingham Trent University; Universidad de Deusto,2,betting exchange commission Betfair sports; bookmaker market structure online betting,sports_betting_market_support,medium,,automated retained set; manual core review required
33,The liberalization and (re)regulation of Dutch gambling markets: National consequences of the changing European context,2008,59,10.1111/j.1748-5991.2008.00045.x,https://openalex.org/W2122290469,Regulation & Governance,article,True,https://research.vu.nl/ws/files/2364250/R_GKingmafulltext.pdf,Sytze Kingma,Vrije Universiteit Amsterdam,1,dutching sports betting strategy,tangential_betting_or_gambling,low,,automated retained set; manual core review required
34,The Wisdom of Bookies? Sentiment Analysis Versus. the NFL Point Spread,2010,59,10.1609/icwsm.v4i1.14074,https://openalex.org/W1510617223,Proceedings of the International AAAI Conference on Web and Social Media,article,True,https://ojs.aaai.org/index.php/ICWSM/article/download/14074/13923,Yancheng Hong; Steven Skiena,Hong Kong University of Science and Technology; Stony Brook University,1,anchor_wisdom_crowds,sports_betting_market_support,medium,,automated retained set; manual core review required
35,,2022,57,,https://openalex.org/W4225390793,Research Repository (Kingston University London),article,True,https://research-information.bris.ac.uk/en/publications/25acbe99-d73c-42f4-b569-1f89dc2d35b2,Philip Newall; Leonardo Weiss‐Cohen; Henrik Singmann; Lukasz Walasek; Elliot A. Ludvig,University of Bristol; University of Leeds; University of Warwick,1,betting limits stake restrictions bookmaker,gambling_harm_or_marketing,context_only,,automated retained set; manual core review required
36,Event-Related Potentials in Relation to Risk-Taking: A Systematic Review,2018,56,10.3389/fnbeh.2018.00111,https://openalex.org/W2804388590,Frontiers in Behavioral Neuroscience,review,True,https://www.frontiersin.org/articles/10.3389/fnbeh.2018.00111/pdf,Dilushi Chandrakumar; Daniel Feuerriegel; Stefan Bode; Megan Grech; Hannah A. D. Keage,University of Melbourne; University of South Australia,1,sports betting latency execution risk,tangential_betting_or_gambling,low,,automated retained set; manual core review required
37,Neoliberalism and Global Cinema,2011,56,10.4324/9780203813638,https://openalex.org/W589526264,,book,True,https://utoronto.scholaris.ca/bitstreams/d3b85aae-a8bb-4f13-99db-2d78f5efd3e3/download,"Lim, Bliss Cua",,1,currency conversion sports betting costs,tangential_betting_or_gambling,low,,automated retained set; manual core review required
